date,epiweek,year,cases,geography
3/14/20,10,2020,2,Minnesota
3/21/20,11,2020,33,Minnesota
3/28/20,12,2020,136,Minnesota
4/4/20,13,2020,333,Minnesota
4/11/20,14,2020,431,Minnesota
4/18/20,15,2020,686,Minnesota
4/25/20,16,2020,735,Minnesota
5/2/20,17,2020,1246,Minnesota
5/9/20,18,2020,3061,Minnesota
5/16/20,19,2020,4607,Minnesota
5/23/20,20,2020,4407,Minnesota
5/30/20,21,2020,4905,Minnesota
6/6/20,22,2020,4278,Minnesota
6/13/20,23,2020,3037,Minnesota
6/20/20,24,2020,2605,Minnesota
6/27/20,25,2020,2450,Minnesota
7/4/20,26,2020,2632,Minnesota
7/11/20,27,2020,2589,Minnesota
7/18/20,28,2020,4146,Minnesota
7/25/20,29,2020,3925,Minnesota
8/1/20,30,2020,4949,Minnesota
8/8/20,31,2020,4794,Minnesota
8/15/20,32,2020,4952,Minnesota
8/22/20,33,2020,4259,Minnesota
8/29/20,34,2020,4432,Minnesota
9/5/20,35,2020,5608,Minnesota
9/12/20,36,2020,5401,Minnesota
9/19/20,37,2020,3724,Minnesota
9/26/20,38,2020,5706,Minnesota
10/3/20,39,2020,6717,Minnesota
10/10/20,40,2020,7093,Minnesota
10/17/20,41,2020,8442,Minnesota
10/24/20,42,2020,10544,Minnesota
10/31/20,43,2020,10990,Minnesota
11/7/20,44,2020,16871,Minnesota
11/14/20,45,2020,30190,Minnesota
11/21/20,46,2020,42721,Minnesota
11/28/20,47,2020,46576,Minnesota
12/5/20,48,2020,42815,Minnesota
12/12/20,49,2020,37893,Minnesota
12/19/20,50,2020,27961,Minnesota
12/26/20,51,2020,18496,Minnesota
1/2/21,52,2020,11742,Minnesota
1/9/21,53,2020,6241,Minnesota
1/9/21,1,2021,16037,Minnesota
1/16/21,2,2021,9808,Minnesota
1/23/21,3,2021,8609,Minnesota
1/30/21,4,2021,6818,Minnesota
2/6/21,5,2021,6311,Minnesota
2/13/21,6,2021,5449,Minnesota
2/20/21,7,2021,5469,Minnesota
2/27/21,8,2021,5558,Minnesota
3/6/21,9,2021,5417,Minnesota
3/13/21,10,2021,7381,Minnesota
3/20/21,11,2021,7832,Minnesota
3/27/21,12,2021,9844,Minnesota
4/3/21,13,2021,11209,Minnesota
4/10/21,14,2021,15786,Minnesota
4/17/21,15,2021,14328,Minnesota
4/24/21,16,2021,11862,Minnesota
5/1/21,17,2021,11007,Minnesota
5/8/21,18,2021,8527,Minnesota
5/15/21,19,2021,6665,Minnesota
5/22/21,20,2021,4339,Minnesota
5/29/21,21,2021,2618,Minnesota
6/5/21,22,2021,1302,Minnesota
6/12/21,23,2021,1074,Minnesota
6/19/21,24,2021,749,Minnesota
6/26/21,25,2021,628,Minnesota
7/3/21,26,2021,523,Minnesota
7/10/21,27,2021,637,Minnesota
7/17/21,28,2021,1227,Minnesota
7/24/21,29,2021,1863,Minnesota
7/31/21,30,2021,3314,Minnesota
8/7/21,31,2021,5087,Minnesota
8/14/21,32,2021,7063,Minnesota
8/21/21,33,2021,8705,Minnesota
8/28/21,34,2021,10634,Minnesota
9/4/21,35,2021,11228,Minnesota
9/11/21,36,2021,11078,Minnesota
9/18/21,37,2021,15117,Minnesota
9/25/21,38,2021,15569,Minnesota
10/2/21,39,2021,17618,Minnesota
10/9/21,40,2021,20866,Minnesota
10/16/21,41,2021,19766,Minnesota
10/23/21,42,2021,14845,Minnesota
10/30/21,43,2021,17304,Minnesota
11/6/21,44,2021,27458,Minnesota
11/13/21,45,2021,26617,Minnesota
11/20/21,46,2021,29578,Minnesota
11/27/21,47,2021,24026,Minnesota
12/4/21,48,2021,31702,Minnesota
12/11/21,49,2021,29848,Minnesota
12/18/21,50,2021,22504,Minnesota
12/25/21,51,2021,16951,Minnesota
1/1/22,52,2021,25994,Minnesota
1/8/22,53,2021,5242,Minnesota
1/8/22,1,2022,41853,Minnesota
1/15/22,2,2022,74181,Minnesota
1/22/22,3,2022,78488,Minnesota
1/29/22,4,2022,92941,Minnesota
2/5/22,5,2022,49393,Minnesota
2/12/22,6,2022,29353,Minnesota
2/19/22,7,2022,16271,Minnesota
2/26/22,8,2022,7845,Minnesota
3/5/22,9,2022,5324,Minnesota
3/12/22,10,2022,4068,Minnesota
3/19/22,11,2022,2754,Minnesota
3/26/22,12,2022,2667,Minnesota
4/2/22,13,2022,2829,Minnesota
4/9/22,14,2022,3146,Minnesota
4/16/22,15,2022,4423,Minnesota
4/23/22,16,2022,6231,Minnesota
4/30/22,17,2022,8698,Minnesota
5/7/22,18,2022,11418,Minnesota
5/14/22,19,2022,15102,Minnesota
5/21/22,20,2022,13826,Minnesota
5/28/22,21,2022,12129,Minnesota
6/4/22,22,2022,10742,Minnesota
6/11/22,23,2022,11427,Minnesota
6/18/22,24,2022,10169,Minnesota
6/25/22,25,2022,9389,Minnesota
7/2/22,26,2022,6142,Minnesota
7/9/22,27,2022,8326,Minnesota
7/16/22,28,2022,9521,Minnesota
7/23/22,29,2022,9500,Minnesota
7/30/22,30,2022,10056,Minnesota
8/6/22,31,2022,10442,Minnesota
8/13/22,32,2022,10240,Minnesota
8/20/22,33,2022,9948,Minnesota
8/27/22,34,2022,9625,Minnesota
9/3/22,35,2022,8394,Minnesota
9/10/22,36,2022,6440,Minnesota
9/17/22,37,2022,6346,Minnesota
9/24/22,38,2022,6678,Minnesota
10/1/22,39,2022,6120,Minnesota
10/8/22,40,2022,5968,Minnesota
10/15/22,41,2022,5386,Minnesota
10/22/22,42,2022,4765,Minnesota
10/29/22,43,2022,5132,Minnesota
11/5/22,44,2022,5038,Minnesota
11/12/22,45,2022,5200,Minnesota
11/19/22,46,2022,5115,Minnesota
11/26/22,47,2022,6567,Minnesota
12/3/22,48,2022,5222,Minnesota
12/10/22,49,2022,6359,Minnesota
12/17/22,50,2022,5744,Minnesota
12/24/22,51,2022,5879,Minnesota
12/31/22,52,2022,5721,Minnesota
1/7/23,1,2023,4718,Minnesota
1/14/23,2,2023,3494,Minnesota
1/21/23,3,2023,2646,Minnesota
1/28/23,4,2023,5341,Minnesota
2/4/23,5,2023,4307,Minnesota
2/11/23,6,2023,4494,Minnesota
2/18/23,7,2023,4967,Minnesota
2/25/23,8,2023,3257,Minnesota
3/4/23,9,2023,5147,Minnesota
3/11/23,10,2023,3602,Minnesota
3/18/23,11,2023,2785,Minnesota
3/25/23,12,2023,2612,Minnesota
12/30/23,52,2023,0,Minnesota